id,title,genres,averageRating,numVotes,releaseYear
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12056,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11509,1986
tt12369754,Staged,"Comedy, Drama",8.5,10661,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10348,1968
tt11052470,"Move to Heaven",Drama,8.5,10174,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10151,2012
tt1632701,Suits,"Comedy, Drama",8.4,496926,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,495695,2005
tt11198330,"House of the Dragon","Action, Adventure, Drama",8.4,450077,2022
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,378684,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,273662,2001
tt5675620,"The Punisher","Action, Crime, Drama",8.4,272288,2017
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,264028,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,263865,2024
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,260771,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,230234,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,213238,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,204094,2019
tt0285331,24,"Action, Crime, Drama",8.4,199266,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,196217,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183263,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178536,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,177546,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,176801,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168540,2008
tt8398600,"After Life","Comedy, Drama",8.4,156787,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156571,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,135518,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130664,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,129687,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,125886,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114067,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112269,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103089,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,99914,2016
tt9059760,"Normal People","Drama, Romance",8.4,97294,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96046,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,94865,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,87717,2018
